 
add-none,2,100,400,162629,406,0
add-none,2,1000,4000,210593,52,0
add-none,2,10000,40000,656041,16,4314
add-none,2,100000,400000,7577455,18,8753
add-none,4,100,800,378104,472,107
add-none,4,1000,8000,244763,30,-239
add-none,4,10000,80000,2557131,31,-7403
add-none,4,100000,800000,23159968,28,-90314
add-none,8,100,1600,497466,310,-52
add-none,8,1000,16000,903043,56,514
add-none,8,10000,160000,10711523,66,1068
add-none,8,100000,1600000,94365956,58,-68715
add-none,12,100,2400,1311376,546,4
add-none,12,1000,24000,1505849,62,589
add-none,12,10000,240000,10244544,42,2845
add-none,12,100000,2400000,133817605,55,-139398
add-yield-none,2,10,40,214292,5357,0
add-yield-none,4,10,80,431029,5387,10
add-yield-none,8,10,160,1271692,7948,8
add-yield-none,12,10,240,728996,3037,10
add-yield-none,2,20,80,98709,1233,17
add-yield-none,4,20,160,231859,1449,21
add-yield-none,8,20,320,482327,1507,36
add-yield-none,12,20,480,761102,1585,61
add-yield-none,2,40,160,345985,2162,37
add-yield-none,4,40,320,553149,1728,0
add-yield-none,8,40,640,986454,1541,63
add-yield-none,12,40,960,1151397,1199,90
add-yield-none,2,80,320,317494,992,42
add-yield-none,4,80,640,629740,983,108
add-yield-none,8,80,1280,1346876,1052,209
add-yield-none,12,80,1920,2269335,1181,142
add-yield-none,2,100,400,367728,919,88
add-yield-none,4,100,800,605672,757,16
add-yield-none,8,100,1600,1263269,789,146
add-yield-none,12,100,2400,2341327,975,73
add-yield-none,2,1000,4000,2051374,512,-16
add-yield-none,4,1000,8000,4084223,510,108
add-yield-none,8,1000,16000,11740520,733,-310
add-yield-none,12,1000,24000,16844372,701,586
add-yield-none,2,10000,40000,17705540,442,40
add-yield-none,4,10000,80000,46258909,578,-8990
add-yield-none,8,10000,160000,109040988,681,-4197
add-yield-none,12,10000,240000,175342979,730,1549
add-yield-none,2,100000,400000,183253779,458,-848
add-yield-none,4,100000,800000,446920235,558,-62632
add-yield-none,8,100000,1600000,1093308305,683,-1520
add-yield-none,12,100000,2400000,1747500363,728,-47029
add-none,1,100,200,122268,611,0
add-none,1,1000,2000,139576,69,0
add-none,1,10000,20000,161685,8,0
add-none,1,100000,200000,681042,3,0
add-none,1,1000000,2000000,6319869,3,0
add-none,2,100,400,213230,533,0
add-none,2,1000,4000,226647,56,0
add-none,2,10000,40000,767256,19,5470
add-none,2,100000,400000,5654292,14,-1778
add-none,2,1000000,4000000,70365357,17,25434
add-none,4,100,800,404793,505,-26
add-none,4,1000,8000,314931,39,-414
add-none,4,10000,80000,2264568,28,-2093
add-none,4,100000,800000,31284060,39,29808
add-none,4,1000000,8000000,277362092,34,-690468
add-yield-none,1,100,200,205774,1028,0
add-yield-none,1,1000,2000,982889,491,0
add-yield-none,1,10000,20000,8436690,421,0
add-yield-none,1,100000,200000,85060492,425,0
add-yield-none,1,1000000,2000000,807746261,403,0
add-yield-none,2,100,400,370863,927,38
add-yield-none,2,1000,4000,1990172,497,42
add-yield-none,2,10000,40000,18153086,453,-20
add-yield-none,2,100000,400000,173706184,434,-413
add-yield-none,2,1000000,4000000,1712202668,428,683
add-yield-none,4,100,800,886567,1108,0
add-yield-none,4,1000,8000,4070888,508,37
add-yield-none,4,10000,80000,48043639,600,-6060
add-yield-none,4,100000,800000,381042011,476,-139
add-yield-none,4,1000000,8000000,3777428582,472,59348
add-yield-m,2,10000,40000,56978888,1424,0
add-yield-m,4,10000,80000,241303534,3016,0
add-yield-m,8,10000,160000,747322670,4670,0
add-yield-m,12,10000,240000,1108731131,4619,0
add-yield-c,2,10000,40000,27729765,693,0
add-yield-c,4,10000,80000,107549442,1344,0
add-yield-c,8,10000,160000,687549114,4297,0
add-yield-c,12,10000,240000,1012108990,4217,0
add-yield-s,2,10000,40000,37079201,926,0
add-yield-s,4,10000,80000,144285015,1803,0
add-yield-s,8,1000,16000,116399067,7274,0
add-yield-s,12,1000,24000,4817433693,200726,0
add-m,1,10000,20000,502452,25,0
add-m,2,10000,40000,8107109,202,0
add-m,4,10000,80000,28863317,360,0
add-m,8,10000,160000,153009872,956,0
add-m,12,10000,240000,238772188,994,0
add-c,1,10000,20000,251866,12,0
add-c,2,10000,40000,5442875,136,0
add-c,4,10000,80000,15542171,194,0
add-c,8,10000,160000,119073177,744,0
add-c,12,10000,240000,177431379,739,0
add-s,1,10000,20000,277134,13,0
add-s,2,10000,40000,4507972,112,0
add-s,4,10000,80000,37427000,467,0
add-s,8,10000,160000,133226683,832,0
add-s,12,10000,240000,578852239,2411,0
