 
list-none-none,1,10,1,30,123893,4129
list-none-none,1,100,1,300,152386,507
list-none-none,1,1000,1,3000,2663264,887
list-none-none,1,10000,1,30000,394732681,13157
list-none-none,1,20000,1,60000,1923294889,32054
list-none-none,2,1,1,6,204430,34071
list-none-none,2,10,1,60,203931,3398
list-none-none,2,100,1,600,415792,692
list-none-none,12,1,1,36,692063,19223
list-none-none,12,10,1,360,625400,1737
list-i-none,2,1,1,6,199511,33251
list-i-none,2,2,1,12,211109,17592
list-i-none,2,4,1,24,188861,7869
list-i-none,2,8,1,48,242753,5057
list-i-none,2,16,1,96,228422,2379
list-i-none,2,32,1,192,280251,1459
list-i-none,4,2,1,24,346236,14426
list-i-none,4,16,1,192,319239,1662
list-i-none,8,1,1,24,542002,22583
list-i-none,8,2,1,48,1126466,23468
list-i-none,8,8,1,192,436712,2274
list-i-none,12,1,1,36,1329145,36920
list-i-none,12,2,1,72,758821,10539
list-i-none,12,4,1,144,448926,3117
list-i-none,12,16,1,576,790060,1371
list-d-none,2,1,1,6,105420,17570
list-d-none,2,4,1,24,120004,5000
list-d-none,2,8,1,48,131587,2741
list-d-none,2,16,1,96,189745,1976
list-d-none,2,32,1,192,214500,1117
list-d-none,4,1,1,12,248971,20747
list-d-none,4,2,1,24,375370,15640
list-d-none,4,4,1,48,234195,4879
list-d-none,4,8,1,96,218634,2277
list-d-none,4,16,1,192,344253,1792
list-d-none,8,4,1,96,489976,5103
list-d-none,8,8,1,192,429486,2236
list-d-none,12,1,1,36,919153,25532
list-d-none,12,2,1,72,522718,7259
list-d-none,12,4,1,144,375012,2604
list-d-none,12,8,1,288,512078,1778
list-il-none,2,1,1,6,167860,27976
list-il-none,2,2,1,12,99646,8303
list-il-none,2,4,1,24,199724,8321
list-il-none,2,8,1,48,210401,4383
list-il-none,2,16,1,96,182732,1903
list-il-none,2,32,1,192,196306,1022
list-il-none,4,1,1,12,300401,25033
list-il-none,4,2,1,24,589115,24546
list-il-none,4,16,1,192,427092,2224
list-il-none,8,8,1,192,578441,3012
list-il-none,12,2,1,72,628121,8723
list-il-none,12,4,1,144,621873,4318
list-dl-none,2,1,1,6,200415,33402
list-dl-none,2,2,1,12,204071,17005
list-dl-none,2,4,1,24,221588,9232
list-dl-none,2,8,1,48,191983,3999
list-dl-none,2,16,1,96,244492,2546
list-dl-none,2,32,1,192,294874,1535
list-dl-none,8,1,1,24,1012371,42182
list-dl-none,8,2,1,48,299807,6245
list-dl-none,8,4,1,96,522884,5446
list-dl-none,12,2,1,72,645028,8958
list-dl-none,12,4,1,144,503377,3495
list-i-m,12,32,1,1152,3949383,3428
list-d-m,12,32,1,1152,3609326,3133
list-il-m,12,32,1,1152,4182400,3630
list-dl-m,12,32,1,1152,4024755,3493
list-i-s,12,32,1,1152,102215867,88729
list-d-s,12,32,1,1152,4014880,3485
list-il-s,12,32,1,1152,28648233,24868
list-dl-s,12,32,1,1152,143342928,124429
list-none-none,1,1000,1,3000,2630478,876
list-none-m,1,1000,1,3000,2539484,846
list-none-m,2,1000,1,6000,20313130,3385
list-none-m,4,1000,1,12000,75558097,6296
list-none-m,8,1000,1,24000,302672356,12611
list-none-m,12,1000,1,36000,598754503,16632
list-none-m,16,1000,1,48000,1004307355,20923
list-none-m,24,1000,1,72000,2053364455,28518
list-none-s,1,1000,1,3000,2643056,881
list-none-s,2,1000,1,6000,24486374,4081
list-none-s,4,1000,1,12000,119499593,9958
list-none-s,8,1000,1,24000,2593890145,108078
list-none-s,12,1000,1,36000,13107038419,364084
list-none-s,16,1000,1,48000,34540825145,719600
list-none-s,24,1000,1,72000,42590009022,591527
