 
list-none-s,1,1000,1,3000,7365646,2455,476
list-none-s,2,1000,1,6000,36699392,6116,6176
list-none-s,4,1000,1,12000,109619460,9134,26838
list-none-s,8,1000,1,24000,430106830,17921,122895
list-none-s,16,1000,1,48000,3598734238,74973,1190544
list-none-s,32,1000,1,96000,16894989379,175989,4888327
list-none-m,1,1000,1,3000,6821829,2273,482
list-none-m,2,1000,1,6000,34573401,5762,6155
list-none-m,4,1000,1,12000,112767243,9397,27700
list-none-m,8,1000,1,24000,452831884,18867,129250
list-none-m,16,1000,1,48000,2074098108,43210,926745
list-none-m,32,1000,1,96000,9471839323,98664,2920964
list-id-none,1,1,4,3,124494,41498,0
list-id-none,1,2,4,6,97314,16219,0
list-id-none,1,4,4,12,146203,12183,0
list-id-none,1,8,4,24,158799,6616,0
list-id-none,1,16,4,48,122555,2553,0
list-id-none,1,32,4,96,235753,2455,0
list-id-none,4,1,4,12,181621,15135,0
list-id-none,4,2,4,24,164414,6850,0
list-id-none,4,4,4,48,134419,2800,0
list-id-none,4,8,4,96,179165,1866,0
list-id-none,8,1,4,24,343991,14332,0
list-id-none,8,2,4,48,302230,6296,0
list-id-none,8,4,4,96,294628,3069,0
list-id-none,8,8,4,192,306282,1595,0
list-id-none,12,1,4,36,398300,11063,0
list-id-none,12,2,4,72,375025,5208,0
list-id-none,12,4,4,144,380424,2641,0
list-id-none,16,1,4,48,574809,11975,0
list-id-none,16,2,4,96,534665,5569,0
list-id-none,16,4,4,192,554725,2889,0
list-id-none,16,8,4,384,558118,1453,0
list-id-none,32,1,4,96,1068255,11127,0
list-id-none,32,2,4,192,962253,5011,0
list-id-none,32,4,4,384,1006843,2621,0
list-id-s,1,10,4,30,223569,7452,565
list-id-s,1,20,4,60,309650,5160,499
list-id-s,1,40,4,120,344173,2868,482
list-id-s,1,80,4,240,537787,2240,464
list-id-s,4,10,4,120,314370,2619,1616
list-id-s,4,20,4,240,385527,1606,1539
list-id-s,4,40,4,480,623126,1298,1615
list-id-s,4,80,4,960,1092558,1138,1605
list-id-s,8,10,4,240,432283,1801,2721
list-id-s,8,20,4,480,607274,1265,3267
list-id-s,8,40,4,960,979173,1019,3449
list-id-s,8,80,4,1920,2180694,1135,4829
list-id-s,12,10,4,360,565856,1571,2971
list-id-s,12,20,4,720,828567,1150,4965
list-id-s,12,40,4,1440,1617196,1123,7341
list-id-s,12,80,4,2880,3417639,1186,9299
list-id-s,16,10,4,480,650049,1354,3938
list-id-s,16,20,4,960,1058480,1102,7237
list-id-s,16,40,4,1920,2077834,1082,9990
list-id-s,16,80,4,3840,4915488,1280,13993
list-id-m,1,10,4,30,248535,8284,662
list-id-m,1,20,4,60,239659,3994,726
list-id-m,1,40,4,120,468989,3908,537
list-id-m,4,10,4,120,350982,2924,2588
list-id-m,4,20,4,240,534169,2225,2636
list-id-m,4,40,4,480,793523,1653,2454
list-id-m,4,80,4,960,1571911,1637,2698
list-id-m,8,10,4,240,537012,2237,4586
list-id-m,8,20,4,480,763249,1590,4745
list-id-m,8,40,4,960,1410777,1469,5520
list-id-m,8,80,4,1920,2600302,1354,6190
list-id-m,12,10,4,360,671887,1866,7595
list-id-m,12,20,4,720,1003454,1393,7431
list-id-m,12,40,4,1440,1941266,1348,9233
list-id-m,12,80,4,2880,4011255,1392,10668
list-id-m,16,10,4,480,861426,1794,9170
list-id-m,16,20,4,960,1293750,1347,11001
list-id-m,16,40,4,1920,2633246,1371,13799
list-id-m,16,80,4,3840,5597139,1457,16431
list-none-s,1,1000,4,3000,3999816,1333,476
list-none-s,1,1000,8,3000,3658426,1219,490
list-none-s,1,1000,16,3000,3326101,1108,483
list-none-s,2,1000,4,6000,10317064,1719,892
list-none-s,2,1000,8,6000,6866247,1144,663
list-none-s,2,1000,16,6000,5102538,850,602
list-none-s,4,1000,4,12000,18599512,1549,2581
list-none-s,4,1000,8,12000,9878980,823,1123
list-none-s,4,1000,16,12000,5985409,498,714
list-none-s,8,1000,4,24000,44493078,1853,9123
list-none-s,8,1000,8,24000,17157006,714,2772
list-none-s,8,1000,16,24000,8380125,349,1149
list-none-s,12,1000,4,36000,1090033190,30278,559152
list-none-s,12,1000,8,36000,31142997,865,6256
list-none-s,12,1000,16,36000,11906856,330,1916
list-none-m,1,1000,4,3000,4122686,1374,491
list-none-m,1,1000,8,3000,3680672,1226,495
list-none-m,1,1000,16,3000,3344521,1114,481
list-none-m,2,1000,4,6000,12045568,2007,1363
list-none-m,2,1000,8,6000,7567481,1261,852
list-none-m,2,1000,16,6000,5682301,947,713
list-none-m,4,1000,4,12000,21763349,1813,3558
list-none-m,4,1000,8,12000,11954162,996,1653
list-none-m,4,1000,16,12000,7634863,636,1031
list-none-m,8,1000,4,24000,56746098,2364,12434
list-none-m,8,1000,8,24000,25000084,1041,4443
list-none-m,8,1000,16,24000,11664509,486,1815
list-none-m,12,1000,4,36000,113952918,3165,28712
list-none-m,12,1000,8,36000,43168811,1199,9554
list-none-m,12,1000,16,36000,17551821,487,3090
